Variation,g1,g2,g3,l1,l2,lw,patch_r,slot_length,sw,dB(S(1 1)): Freq(6.6GHz),max(dB(S(1 1))): Freq(2.5GHz:6.3GHz),max(dB(S(1 1))): Freq(6.8GHz:12GHz),Cost
107,18.285714mm,5.7040816mm,5.6952381mm,9.2034014mm,1.7823129mm,3.2619048mm,6.7482993mm,28.979592mm,1.2721088mm,-10.512233,-11.098731,10.992975,453.04079
108,10.884354mm,5.2795918mm,6.9333333mm,24.394558mm,1.8231293mm,3.547619mm,5.5510204mm,22.176871mm,1.170068mm,-14.333995,-6.5484547,-4.7303694,93.469658
109,13.170068mm,2.6530612mm,5.0585034mm,11.19932mm,2.8979592mm,3.6904762mm,11.863946mm,21.904762mm,0.78911565mm,-10.053246,-10.722346,-5.4625573,29.910696
110,16.108844mm,2.7326531mm,5.4122449mm,19.293878mm,2.462585mm,1.7619048mm,5.8231293mm,10.068027mm,1.1496599mm,-14.012912,-12.180322,-11.577256,49.180933
111,21.442177mm,2.7061224mm,6.1197279mm,19.072109mm,1.0340136mm,3.7857143mm,9.3061224mm,12.92517mm,1.2653061mm,-18.713338,-6.7097473,-5.3575592,169.5803
112,16.870748mm,5.0408163mm,2.6176871mm,10.423129mm,2.1632653mm,3.5mm,9.7414966mm,10.340136mm,1.1156463mm,-8.5242542,-9.464502,3.7196184,190.83804
113,23.945578mm,2.3612245mm,6.1904762mm,18.406803mm,2.4353741mm,3.1190476mm,10.829932mm,17.687075mm,1.292517mm,-17.534818,1.9036736,-4.9274499,278.41061
114,18.068027mm,4.5367347mm,7.2870748mm,15.745578mm,2.829932mm,3.5952381mm,11.972789mm,26.802721mm,1.1292517mm,-11.364877,-0.9457758,-3.3581021,145.14594
115,11.102041mm,4.0857143mm,5.1292517mm,8.4272109mm,2.3945578mm,1.9285714mm,11.156463mm,22.585034mm,1.0340136mm,-12.850337,-13.035525,-4.1793614,68.106278
116,22.204082mm,5.3591837mm,4.6340136mm,13.860544mm,1.4693878mm,2.6666667mm,8.8707483mm,15.918367mm,1.4761905mm,-9.5225841,-0.0019458882,-8.3852029,108.93209
117,10.993197mm,2.6mm,5.2mm,13.306122mm,1.292517mm,4.1666667mm,5.3877551mm,28.163265mm,0.76870748mm,-11.490704,0.72256098,-4.2702916,167.96929
118,12.29932mm,4.1918367mm,3.8911565mm,21.289796mm,1.3197279mm,1.8571429mm,4.7346939mm,22.993197mm,1.0816327mm,-15.840723,-10.190969,-8.8583094,79.461845
119,18.829932mm,4.7755102mm,4.8462585mm,11.310204mm,2.2040816mm,4.9047619mm,4.2993197mm,11.292517mm,0.89795918mm,-6.8412945,8.2563092,14.762157,946.45724
120,13.931973mm,2.0428571mm,6.0843537mm,24.172789mm,2.3265306mm,4.2142857mm,7.1292517mm,18.911565mm,1.3809524mm,-12.258612,-6.108252,-0.98424714,124.08251
121,12.843537mm,5.4122449mm,4.5632653mm,23.17483mm,2.5442177mm,5.1190476mm,7.3469388mm,24.081633mm,1.1836735mm,-17.255025,-1.4924477,-7.0834406,186.05031
122,20.571429mm,3.8204082mm,7.6408163mm,23.840136mm,2.5170068mm,2.4761905mm,7.0204082mm,24.62585mm,1.0544218mm,-12.979553,-11.863957,-8.5088838,37.978479
123,19.156463mm,2.9714286mm,7.322449mm,13.084354mm,1.7142857mm,2.1666667mm,11.102041mm,13.741497mm,1.1564626mm,-4.3381919,-7.640099,4.792197,224.37823
124,23.292517mm,5.3857143mm,6.2258503mm,20.735374mm,2.6938776mm,3.952381mm,9.8503401mm,14.693878mm,0.9047619mm,-14.281841,-6.0101442,2.333728,221.06501
125,11.646259mm,4.8020408mm,7.1455782mm,17.297959mm,2.5986395mm,4.9285714mm,4.4081633mm,18.095238mm,0.7755102mm,-11.344964,-2.2298533,4.1563869,279.65719
126,14.367347mm,5.544898mm,5.8721088mm,16.632653mm,1.5646259mm,4.7857143mm,6.9115646mm,12.517007mm,1.4081633mm,-13.871124,-4.7970788,-9.1153119,75.065403
127,18.721088mm,3.6081633mm,5.7306122mm,8.7598639mm,1.8503401mm,5.1904762mm,8.4353741mm,27.210884mm,0.61904762mm,-7.175111,-8.4218474,17.280793,746.76288
